name,price_text,comment,shop
机械手感游戏办公键盘鼠标台式笔记本通用电脑有线USB键鼠高颜值 黑色键盘-基础款办公-无光,¥11.56,100+条评价100%好评,键设工作室
【爆款】 有线单键盘USB笔记本台式电脑一体机通用办公单键盘 单键盘01,¥14.9,1万+条评价500+人好评,京喜自营官方店
【新款】 灵蛇办公键鼠套装 有线键鼠套装 公司办公 大牌平替 防水静音 【京东物流】 【办公】单键盘 有线,¥14.9,2万+条评价92%好评,京喜自营官方店
【京东物流】无线键盘蓝牙iPad超薄办公手机平板电脑通用便携 清新绿,¥15.49,1万+条评价95%好评,京喜自营官方店
有线键盘鼠标电竞游戏机械手感酷炫台式笔记本电脑商务办公键鼠 (彩虹光白色键盘套)【背光发光】,¥15.6,52条评价100%好评,键设工作室
有线键盘鼠标电竞游戏机械手感酷炫台式笔记本电脑商务办公键鼠 (彩虹光黑色键盘套)【背光发光】,¥15.6,52条评价100%好评,键设工作室
黑暗武士2025最新款机械手感键盘鼠标套装电竞游戏商务用笔记本台式电脑 白色彩虹光【方块按键】 单光 有线 104键,¥15.68,200+条评价100%好评,伟达小店
黑暗武士有线键盘鼠标套装电竞游戏键盘机械手感台式电脑键盘办公键鼠外设 (彩虹光白色键盘)【背光发光】,¥16.6,1000+条评价100%好评,伟达小店
黑暗武士有线键盘鼠标套装电竞游戏键盘机械手感台式电脑键盘办公键鼠外设 (彩虹光黑色键盘)【背光发光】,¥16.6,1000+条评价100%好评,伟达小店
先马（SAMA）K130 有线USB键盘黑色 商务办公键盘 笔记本台式机电脑键盘 即插即用 防水防泼溅 经典手感 安静,¥16.9,2万+条评价97%好评,先马SAMA京东自营旗舰店
朋克风键盘高颜值发光有线USB键鼠套装悬浮键帽静音游戏办公通用 单键盘（冰蓝白） 有线,¥17.99,5000+条评价96%好评,京喜自营官方店
灵蛇（LINGSHE）有线单键盘USB笔记本台式电脑一体机通用办公单键盘 K200黑色,¥18.9,20万+条评价94%好评,灵蛇京东自营旗舰店
爱国者（aigo）键盘鼠标有线键鼠套装打字台式机笔记本电脑外接USB办公游戏商务家用防水简约 黑色单键盘【W921】 有线,¥19.8,2万+条评价94%好评,科尚数码专营店
宏碁（ACER）键盘 有线键盘 办公键盘 笔记本键盘 电脑键盘 防泼溅 经典手感 K-212B,¥19.9,2万+条评价800+人好评,电脑整机京东自营专区
联想异能者 有线键盘 商务办公键盘 台式机/小新笔记本适用 防泼溅 手托键盘有线 黑色,¥22.9,20万+条评价2100+人复购,联想京东自营旗舰店
朋克风键盘高颜值发光有线USB键鼠套装悬浮键帽静音游戏办公通用 冰蓝白键盘+鼠标（送鼠标垫） 有线,¥24.99,5000+条评价96%好评,京喜自营官方店
狼蛛（AULA）S3005真机械手感游戏键盘鼠标套装有线轻音薄膜电竞键鼠套装台式电脑网吧笔记本办公背光USB外接外 白色单键盘-炫酷灯效,¥29,2000+条评价94%好评,狼蛛外设产品旗舰店
联想（lenovo）键盘KL21 有线键盘 电脑办公键盘 笔记本台式机一体机键盘黑色 USB,¥29.9,2万+条评价3万+人种草,联想百应京东自营旗舰店
B.O.W航世 HW098A 有线键盘 企业采购办公键盘 超薄便携键盘78键 台式笔记本键盘 巧克力按键 黑色,¥29.9,20万+条评价98%好评,航世京东自营旗舰店
联想异能者 有线键盘 商务办公键盘 全尺寸键盘 即插即用台式机/小新笔记本适用键盘有线 黑色,¥29.9,20万+条评价97%好评,联想京东自营旗舰店
联想异能者有线键盘鼠标套装 全尺寸防泼溅人体工学 手感舒适 商务办公台式机/小新适用键鼠,¥35.9,20万+条评价2100+人好评,联想京东自营旗舰店
银雕(YINDIAO) K500键盘彩包升级版 机械手感 游戏背光电竞办公USB外接 全尺寸 蓝白双拼白光有线键盘,¥38.9,20万+条评价30天种草飙升5倍,银雕（YINDIAO）京东自营旗舰店
银雕(YINDIAO) K500键盘彩包升级版 机械手感 游戏背光电竞办公 USB外接键盘 全尺寸 黑色混光有线键盘,¥38.9,20万+条评价92%好评,银雕（YINDIAO）京东自营旗舰店
前行者GX 87键真机械手感游戏键盘鼠标套装有线静音薄膜键鼠台式电脑网吧笔记本办公背光USB外接外设 黑色-彩虹光键盘【加厚升级版】,¥39.9,100万+条评价2600+人好评,前行者（EWEADN）外设产品旗舰店
联想（Lenovo）键盘 有线键盘 K4800S 电脑办公键盘 笔记本键盘黑色 USB,¥39.9,50万+条评价97%好评,联想京东自营旗舰店
前行者GX 87键真机械手感游戏键盘鼠标套装有线静音薄膜键鼠台式电脑网吧笔记本办公背光USB外接外设 黑色-蓝光键盘【加厚升级版】,¥39.9,100万+条评价96%好评,前行者（EWEADN）外设产品旗舰店
戴尔（DELL）KB216 键盘 有线 多媒体键盘 办公键盘 全尺寸键盘 即插即用 键盘（黑色）,¥40.9,50万+条评价6600+人复购,戴尔京东自营旗舰店
前行者（EWEADN） GX330机械手感键盘鼠标套装朋克有线游戏电脑笔记本办公无线蓝牙键鼠三件套 黑色冰蓝光【朋克版】升级加厚,¥48.9,10万+条评价30天种草飙升5倍,前行者（EWEADN）旗舰店
AOC KB122有线键盘 真机械手感键盘 背光灯效 游戏电竞键盘 电脑笔记本通用 黑色蓝光,¥49.9,2万+条评价600+人好评,AOC外设京东自营旗舰店
狼蛛（AULA）真机械手感键盘鼠标套装游戏电竞有线背光笔记本键盘台式电脑外设办公键鼠三件套 金属灰【单键盘】冰蓝光,¥55,20万+条评价30天种草飙升5倍,海莫数码专营店
适用联想拯救者R/Y9000P机械手感华硕天选键盘鼠标Y7000P电竞华为 黑色冰蓝光键盘,¥57.9,5000+条评价95%好评,精选产品经营部
AOCGK168键盘 87键 机械手感 轻音按键 有线键盘鼠标套装19键无冲电脑办公笔记本电竞游戏外设 87键【雨烟紫】,¥59,5000+条评价97%好评,AOC外设产品旗舰店
狼蛛（AULA） 真机械手感键盘 游戏键盘 有线键盘 背光台式电脑笔记本外设办公键鼠三件套电竞键盘 F3010银白【混光】单键盘,¥59,800+人看过,狮泽外设产品专营店
惠普（HP）惠普K120 有线发光游戏键盘笔记本家用电脑游戏办公通用 电竞外设游戏键盘87键背光键盘 绿色三拼,¥59.9,2万+条评价96%好评,惠普京东自营旗舰店
联想（Lenovo）K2有线轻音键盘 机械手感 消音结构95键 混彩灯效 人体工学 音量旋钮 有线办公键盘 拼色 石英粉,¥64.9,50万+条评价800+人好评,联想京东自营旗舰店
惠普（HP）K300真机械手感键盘 轻音高颜值 98客制化配列 插拔有线游戏专用吃鸡笔记本电脑电竞lol三拼色白芯,¥65,2万+条评价400+人好评,惠普京东自营旗舰店
狼途（LANGTU）L15星海98键 有线静音键盘 Gasket结构 RGB灯效 人体工学,¥66.4,10万+条评价3700+人好评,狼途（LANGTU）京东自营旗舰店
狼蛛（AULA）S500机械键盘 有线背光 104键全尺寸 游戏电竞笔记本电脑多媒体办公吃鸡全键无冲 黑色混光黑轴,¥89,5000+条评价98%好评,狼蛛外设京东自营旗舰店
雷柏（Rapoo） V500PRO 有线背光机械键盘 104键全尺寸游戏电竞笔记本电脑多媒体办公吃鸡全键无冲键盘 黑轴,¥89,300万+条评价30天加购飙升5倍,雷柏京东自营旗舰店
AOC GK300/GK320无线蓝牙有线三模键盘多功能屏显 机械手感拼色键盘电竞游戏电脑办公键盘RGB背光轻音 GK300【藏蓝绮梦】77键,¥89,1000+条评价99%好评,酷联外设产品专营店
狼蛛（AULA）S500机械键盘 有线背光 104键全尺寸 游戏电竞笔记本电脑多媒体办公吃鸡全键无冲 黑色混光黑轴,¥89,2万+人看过,狼蛛外设京东自营旗舰店
狼途LT84机械键盘客制化无线有线蓝牙三模连接电竞游戏键盘平板电脑笔记本办公键盘键鼠套装全键热插拔 【有线版】白冰蓝-青轴,¥90,2万+人看过,狼途官方旗舰店
惠普（HP）GK200机械键盘有线办公游戏键盘 20种背光灯效 87键电竞键盘鼠标套装电脑外设键鼠 侧刻黑莓粉【青轴】白光,¥99,20万+条评价97%好评,海莫数码专营店
雷神（ThundeRobot）有线游戏机械键盘KG3089R红轴幻彩版 电竞89键全键无冲炫酷混光RGBcs家用办公吃鸡无畏契约cs2,¥99,20万+条评价95%好评,雷神京东自营旗舰店
雷柏（Rapoo） V500PRO单光版 有线背光机械键盘 104键全尺寸游戏电竞笔记本电脑办公吃鸡全键无冲键盘 茶轴,¥99,300万+条评价98%好评,雷柏京东自营旗舰店
惠普（HP）GK200机械键盘有线办公游戏键盘 20种背光灯效 87键电竞键盘鼠标套装电脑外设键鼠 侧刻黑莓粉【青轴】白光,¥99,3万+人看过,海莫数码专营店
狼途GK65无线机械键盘有线蓝牙2.4G三模连接全键热插拔全键无冲办公码字游戏笔记本电脑外设键盘高颜值 GK65奶白色-金轴 三模 65键,¥99.9,9000+人看过,狼途官方旗舰店
狼途T98有线机械键盘客制化全键热插拔Gasket结构三模无线蓝牙2.4G电竞游戏办公码字键盘98键配列 【有线】墨影冰蓝光+红轴,¥110,1万+人看过,狼途官方旗舰店
达尔优（dareu）EK815机械合金键盘 有线键盘 游戏键盘 108键单光 男生女生 电脑键盘 白色蓝色 青轴,¥119,100万+条评价30天种草飙升5倍,达尔优京东自营旗舰店
适用ROG华硕天选4/5/6pro机械键盘鼠标套装耳机电竞三件套游戏 有线白蓝青轴87键,¥127.41,8000+人看过,精选产品经营部
AOC GK410有线机械键盘电竞游戏侧刻渐变磁吸上盖键盘机械 支持热插拔全键无冲 笔记本电脑通用键盘 【黑莓粉】热插拔混光-青轴,¥129,400+人看过84%好评,酷联外设产品专营店
适用华硕天选键盘有线天选6pro/5/4/3机械手感游戏鼠标套装拯救者 有线键盘+有线宏鼠标1,¥129.9,2万+条评价95%好评,天选电竞经营部
前行者（EWEADN）TK100朋克机械键盘电竞游戏有线台式电脑笔记本外接办公打字复古外设吃鸡 黑色白光黑轴,¥135.9,20万+条评价96%好评,前行者（EWEADN）京东自营旗舰店
惠普（HP）机械键盘 办公电竞游戏专用有线 台式机笔记本电脑 侧刻渐变黑莓粉白光青轴 104键,¥139,2万+人看过,惠普（HP）影音京东自营旗舰店
狼蛛（AULA）HERO 68HE磁轴键盘RT电竞游戏客制化机械有线RGB灯效五层填充网页驱动无畏契约8K回报率家用办公 侧刻【形意磁轴】白色,¥179,10万+人看过,狼蛛（AULA）官方旗舰店
前行者【国补立省15%】X87Pro/Ultra无线机械键盘有线蓝牙三模gasket客制化游戏电竞办公专用侧刻笔记本 黑莓粉侧刻Pro-筋斗云轴-1万mAh,¥199,9万+人看过,前行者（EWEADN）旗舰店
前行者MT87无线机械键盘鼠标套装有线蓝牙三模高颜值侧刻游戏电竞专用108键办公通用电脑笔记本平板外设 87键黑莓-侧刻【无线蓝牙三模版】白光 青轴（清脆手感）,¥199,6000+人看过,敏涛外设产品专营店
腹灵NX87高颜值三模无线蓝牙机械键盘全键无冲电竞游戏专用音乐律动情人节办公学生 彼岸樱侧刻+鸢尾花轴（办公）+8000毫安 无线_蓝牙+TypeC+2.4G 87键,¥234,2万+人看过,腹灵键鼠旗舰店
前行者【国补立省15%】X87Pro/Ultra无线机械键盘有线蓝牙三模gasket客制化游戏电竞办公专用侧刻笔记本 黑莓粉侧刻Ultra北极拿铁轴V2-1.2万mA,¥259,30万+人看过,前行者（EWEADN）旗舰店
腹灵FL980正刻侧刻客制化电竞游戏办公机械键盘全键热插拔三模无线蓝牙 FL980 V2三模+白透面97键+纯白侧刻 BOX红轴 【游戏&办公】,¥457,100+人看过,腹灵键鼠旗舰店
